Adhoc_Param_Syn_Lower,Ad-hoc_Param,Entity
stroke,Cerebral Ischemia,ProblemsDim
brain attack,Cerebral Ischemia,ProblemsDim
cerebrovascular accident,Cerebral Ischemia,ProblemsDim
transient ischemic attack,Cerebral Ischemia,ProblemsDim
tia,Cerebral Ischemia,ProblemsDim
cerebral ischemia,Cerebral Ischemia,ProblemsDim
stroke,Cerebrovascular Accident,ProblemsDim
brain attack,Cerebrovascular Accident,ProblemsDim
cva,Cerebrovascular Accident,ProblemsDim
cerebrovascular accident,Cerebrovascular Accident,ProblemsDim
chd,Chronic Heart Disease,ProblemsDim
coronary artery disease,Chronic Heart Disease,ProblemsDim
heart failure,Chronic Heart Disease,ProblemsDim
cardiomyopathy,Chronic Heart Disease,ProblemsDim
valvular heart disease,Chronic Heart Disease,ProblemsDim
arrhythmia,Chronic Heart Disease,ProblemsDim
congestive heart failure,Chronic Heart Disease,ProblemsDim
myocardial infarction,Chronic Heart Disease,ProblemsDim
angina pectoris,Chronic Heart Disease,ProblemsDim
chronic heart disease,Chronic Heart Disease,ProblemsDim
chf,Chronic Heart Failure,ProblemsDim
heart failure (chronic),Chronic Heart Failure,ProblemsDim
congestive heart failure,Chronic Heart Failure,ProblemsDim
heart failure - chronic,Chronic Heart Failure,ProblemsDim
chf - congestive,Chronic Heart Failure,ProblemsDim
chronic heart failure,Chronic Heart Failure,ProblemsDim
avf complications,Complications Of The Arteriovenous Fistula,ProblemsDim
arteriovenous fistula problems,Complications Of The Arteriovenous Fistula,ProblemsDim
avf issues,Complications Of The Arteriovenous Fistula,ProblemsDim
fistula-related complications,Complications Of The Arteriovenous Fistula,ProblemsDim
avf malfunction,Complications Of The Arteriovenous Fistula,ProblemsDim
arteriovenous fistula failure,Complications Of The Arteriovenous Fistula,ProblemsDim
avf stenosis,Complications Of The Arteriovenous Fistula,ProblemsDim
avf thrombosis,Complications Of The Arteriovenous Fistula,ProblemsDim
avf infection,Complications Of The Arteriovenous Fistula,ProblemsDim
avf aneurysm,Complications Of The Arteriovenous Fistula,ProblemsDim
avf bleeding,Complications Of The Arteriovenous Fistula,ProblemsDim
avf access problems,Complications Of The Arteriovenous Fistula,ProblemsDim
complications of the arteriovenous fistula,Complications Of The Arteriovenous Fistula,ProblemsDim
chd,Congenital Heart Defect,ProblemsDim
congenital cardiac defect,Congenital Heart Defect,ProblemsDim
heart birth defect,Congenital Heart Defect,ProblemsDim
congenital heart disease,Congenital Heart Defect,ProblemsDim
congenital heart defect,Congenital Heart Defect,ProblemsDim
chf,Congestive Heart Failure,ProblemsDim
heart failure,Congestive Heart Failure,ProblemsDim
congestive cardiac failure,Congestive Heart Failure,ProblemsDim
cardiac insufficiency,Congestive Heart Failure,ProblemsDim
heart insufficiency,Congestive Heart Failure,ProblemsDim
heart fail,Congestive Heart Failure,ProblemsDim
heart fail syndrome,Congestive Heart Failure,ProblemsDim
congestive heart failure,Congestive Heart Failure,ProblemsDim
chf,Congestive Heart Failure (Chf),ProblemsDim
heart failure,Congestive Heart Failure (Chf),ProblemsDim
congestive cardiac failure,Congestive Heart Failure (Chf),ProblemsDim
cardiac insufficiency,Congestive Heart Failure (Chf),ProblemsDim
heart insufficiency,Congestive Heart Failure (Chf),ProblemsDim
heart fail,Congestive Heart Failure (Chf),ProblemsDim
heart failure (hf),Congestive Heart Failure (Chf),ProblemsDim
congestive heart failure (chf),Congestive Heart Failure (Chf),ProblemsDim
chf,"Congestive Heart Failure, Chronic Obstructive Pulmonary Disease",ProblemsDim
copd,"Congestive Heart Failure, Chronic Obstructive Pulmonary Disease",ProblemsDim
heart failure,"Congestive Heart Failure, Chronic Obstructive Pulmonary Disease",ProblemsDim
chronic heart failure,"Congestive Heart Failure, Chronic Obstructive Pulmonary Disease",ProblemsDim
congestive cardiac failure,"Congestive Heart Failure, Chronic Obstructive Pulmonary Disease",ProblemsDim
copd (chronic obstructive pulmonary disease),"Congestive Heart Failure, Chronic Obstructive Pulmonary Disease",ProblemsDim
copd (chronic obstructive airways disease),"Congestive Heart Failure, Chronic Obstructive Pulmonary Disease",ProblemsDim
"congestive heart failure, chronic obstructive pulmonary disease","Congestive Heart Failure, Chronic Obstructive Pulmonary Disease",ProblemsDim
chf,"Congestive Heart Failure, Valve Disease",ProblemsDim
valvular heart disease,"Congestive Heart Failure, Valve Disease",ProblemsDim
heart failure with valvular dysfunction,"Congestive Heart Failure, Valve Disease",ProblemsDim
heart failure and valvular disease,"Congestive Heart Failure, Valve Disease",ProblemsDim
chf-vd,"Congestive Heart Failure, Valve Disease",ProblemsDim
"congestive heart failure, valve disease","Congestive Heart Failure, Valve Disease",ProblemsDim
cot,Control Of Hemorrhage,ProblemsDim
hemostasis,Control Of Hemorrhage,ProblemsDim
hemorrhage control,Control Of Hemorrhage,ProblemsDim
bleeding control,Control Of Hemorrhage,ProblemsDim
stop bleeding,Control Of Hemorrhage,ProblemsDim
hemorrhage arrest,Control Of Hemorrhage,ProblemsDim
hemorrhage management,Control Of Hemorrhage,ProblemsDim
hemorrhage cessation,Control Of Hemorrhage,ProblemsDim
control of hemorrhage,Control Of Hemorrhage,ProblemsDim
cabg,Coronary Artery Bypass Grafting,ProblemsDim
coronary artery bypass surgery,Coronary Artery Bypass Grafting,ProblemsDim
heart bypass surgery,Coronary Artery Bypass Grafting,ProblemsDim
myocardial revascularization,Coronary Artery Bypass Grafting,ProblemsDim
heart bypass graft,Coronary Artery Bypass Grafting,ProblemsDim
coronary artery bypass grafting,Coronary Artery Bypass Grafting,ProblemsDim
cad,Coronary Artery Disease,ProblemsDim
coronary heart disease,Coronary Artery Disease,ProblemsDim
chd,Coronary Artery Disease,ProblemsDim
ischemic heart disease,Coronary Artery Disease,ProblemsDim
heart disease,Coronary Artery Disease,ProblemsDim
atherosclerosis,Coronary Artery Disease,ProblemsDim
coronary atherosclerosis,Coronary Artery Disease,ProblemsDim
coronary artery disease,Coronary Artery Disease,ProblemsDim
cad without mi,Coronary Artery Disease And No Myocardial Infarction,ProblemsDim
coronary heart disease without myocardial infarction,Coronary Artery Disease And No Myocardial Infarction,ProblemsDim
chd without myocardial infarction,Coronary Artery Disease And No Myocardial Infarction,ProblemsDim
coronary artery disease (no myocardial infarction),Coronary Artery Disease And No Myocardial Infarction,ProblemsDim
cad no mi,Coronary Artery Disease And No Myocardial Infarction,ProblemsDim
coronary artery disease and no myocardial infarction,Coronary Artery Disease And No Myocardial Infarction,ProblemsDim
cad,Coronary Artery Disease/Myocardial Infarction,ProblemsDim
heart disease,Coronary Artery Disease/Myocardial Infarction,ProblemsDim
cardiovascular disease,Coronary Artery Disease/Myocardial Infarction,ProblemsDim
mi,Coronary Artery Disease/Myocardial Infarction,ProblemsDim
myocardial infarct,Coronary Artery Disease/Myocardial Infarction,ProblemsDim
heart attack,Coronary Artery Disease/Myocardial Infarction,ProblemsDim
acute coronary syndrome,Coronary Artery Disease/Myocardial Infarction,ProblemsDim
acs,Coronary Artery Disease/Myocardial Infarction,ProblemsDim
coronary artery disease/myocardial infarction,Coronary Artery Disease/Myocardial Infarction,ProblemsDim
chd,Coronary Heart Disease (Chd),ProblemsDim
coronary artery disease,Coronary Heart Disease (Chd),ProblemsDim
cad,Coronary Heart Disease (Chd),ProblemsDim
ischemic heart disease,Coronary Heart Disease (Chd),ProblemsDim
heart disease,Coronary Heart Disease (Chd),ProblemsDim
atherosclerosis,Coronary Heart Disease (Chd),ProblemsDim
coronary artery disease (cad),Coronary Heart Disease (Chd),ProblemsDim
myocardial infarction,Coronary Heart Disease (Chd),ProblemsDim
heart attack,Coronary Heart Disease (Chd),ProblemsDim
coronary heart disease (chd),Coronary Heart Disease (Chd),ProblemsDim
chd,Coronary Heart Disease (Chd)/ Myocardial Infarction,ProblemsDim
myocardial infraction,Coronary Heart Disease (Chd)/ Myocardial Infarction,ProblemsDim
heart attack,Coronary Heart Disease (Chd)/ Myocardial Infarction,ProblemsDim
cardiac arrest,Coronary Heart Disease (Chd)/ Myocardial Infarction,ProblemsDim
ischemic heart disease,Coronary Heart Disease (Chd)/ Myocardial Infarction,ProblemsDim
cad,Coronary Heart Disease (Chd)/ Myocardial Infarction,ProblemsDim
coronary artery disease,Coronary Heart Disease (Chd)/ Myocardial Infarction,ProblemsDim
coronary heart disease (chd)/ myocardial infarction,Coronary Heart Disease (Chd)/ Myocardial Infarction,ProblemsDim
chd,Coronary Heart Disease (Chd)/Ischemic Heart Disease,ProblemsDim
ihd,Coronary Heart Disease (Chd)/Ischemic Heart Disease,ProblemsDim
coronary artery disease,Coronary Heart Disease (Chd)/Ischemic Heart Disease,ProblemsDim
cad,Coronary Heart Disease (Chd)/Ischemic Heart Disease,ProblemsDim
myocardial infarction,Coronary Heart Disease (Chd)/Ischemic Heart Disease,ProblemsDim
heart attack,Coronary Heart Disease (Chd)/Ischemic Heart Disease,ProblemsDim
angina pectoris,Coronary Heart Disease (Chd)/Ischemic Heart Disease,ProblemsDim
unstable angina,Coronary Heart Disease (Chd)/Ischemic Heart Disease,ProblemsDim
stable angina,Coronary Heart Disease (Chd)/Ischemic Heart Disease,ProblemsDim
silent ischemia,Coronary Heart Disease (Chd)/Ischemic Heart Disease,ProblemsDim
coronary heart disease (chd)/ischemic heart disease,Coronary Heart Disease (Chd)/Ischemic Heart Disease,ProblemsDim
chf,Coronary Heart Failure,ProblemsDim
heart failure (hf),Coronary Heart Failure,ProblemsDim
congestive heart failure (chf),Coronary Heart Failure,ProblemsDim
cardiac failure,Coronary Heart Failure,ProblemsDim
heart disease,Coronary Heart Failure,ProblemsDim
myocardial failure,Coronary Heart Failure,ProblemsDim
heart weakness,Coronary Heart Failure,ProblemsDim
coronary heart failure,Coronary Heart Failure,ProblemsDim
cvu,Cutaneous Vasculitis Ulcerations,ProblemsDim
cutaneous vasculitis,Cutaneous Vasculitis Ulcerations,ProblemsDim
skin vasculitis,Cutaneous Vasculitis Ulcerations,ProblemsDim
vasculitic skin ulcers,Cutaneous Vasculitis Ulcerations,ProblemsDim
cutaneous ulcers due to vasculitis,Cutaneous Vasculitis Ulcerations,ProblemsDim
cutaneous vasculitis ulcerations,Cutaneous Vasculitis Ulcerations,ProblemsDim
dvt,Deep Vein Thrombosis,ProblemsDim
deep venous thrombosis,Deep Vein Thrombosis,ProblemsDim
venous thromboembolism,Deep Vein Thrombosis,ProblemsDim
lower extremity deep vein thrombosis,Deep Vein Thrombosis,ProblemsDim
pulmonary embolism,Deep Vein Thrombosis,ProblemsDim
thrombus in deep vein,Deep Vein Thrombosis,ProblemsDim
deep vein thrombosis,Deep Vein Thrombosis,ProblemsDim
dbp,Diastolic Blood Pressure,ProblemsDim
systolic-diastolic blood pressure,Diastolic Blood Pressure,ProblemsDim
diastolic arterial pressure,Diastolic Blood Pressure,ProblemsDim
diastolic bp,Diastolic Blood Pressure,ProblemsDim
diastolic blood pressure,Diastolic Blood Pressure,ProblemsDim
dhf,Diastolic Heart Failure,ProblemsDim
diastolic congestive heart failure,Diastolic Heart Failure,ProblemsDim
diastolic cardiac failure,Diastolic Heart Failure,ProblemsDim
diastolic dysfunction,Diastolic Heart Failure,ProblemsDim
left ventricular diastolic dysfunction,Diastolic Heart Failure,ProblemsDim
heart failure with preserved ejection fraction,Diastolic Heart Failure,ProblemsDim
diastolic heart failure,Diastolic Heart Failure,ProblemsDim
swelling,Edema,ProblemsDim
fluid retention,Edema,ProblemsDim
water retention,Edema,ProblemsDim
peripheral edema,Edema,ProblemsDim
pedal edema,Edema,ProblemsDim
lymphedema,Edema,ProblemsDim
cerebral edema,Edema,ProblemsDim
pulmonary edema,Edema,ProblemsDim
edema,Edema,ProblemsDim
facial swelling,Edema Of The Face,ProblemsDim
bruise of the face,Edema Of The Face,ProblemsDim
puffiness of the face,Edema Of The Face,ProblemsDim
swollen cheeks,Edema Of The Face,ProblemsDim
swollen eyes,Edema Of The Face,ProblemsDim
facial edema,Edema Of The Face,ProblemsDim
periorbital edema,Edema Of The Face,ProblemsDim
lip swelling,Edema Of The Face,ProblemsDim
edema of the face,Edema Of The Face,ProblemsDim
ie,Endocarditis,ProblemsDim
infective endocarditis,Endocarditis,ProblemsDim
ve,Endocarditis,ProblemsDim
vegetative endocarditis,Endocarditis,ProblemsDim
be,Endocarditis,ProblemsDim
bacterial endocarditis,Endocarditis,ProblemsDim
ae,Endocarditis,ProblemsDim
acute endocarditis,Endocarditis,ProblemsDim
ce,Endocarditis,ProblemsDim
chronic endocarditis,Endocarditis,ProblemsDim
endocarditis,Endocarditis,ProblemsDim
high blood pressure,Essential Hypertension,ProblemsDim
primary hypertension,Essential Hypertension,ProblemsDim
essential htn,Essential Hypertension,ProblemsDim
essential hypertension (htn),Essential Hypertension,ProblemsDim
essential hypertension,Essential Hypertension,ProblemsDim
fhx of heart disease,Family History F Heart Disease,ProblemsDim
family history heart disease,Family History F Heart Disease,ProblemsDim
cardiovascular disease family history,Family History F Heart Disease,ProblemsDim
heart condition family history,Family History F Heart Disease,ProblemsDim
coronary artery disease family history,Family History F Heart Disease,ProblemsDim
hypertension family history,Family History F Heart Disease,ProblemsDim
stroke family history,Family History F Heart Disease,ProblemsDim
family history f heart disease,Family History F Heart Disease,ProblemsDim
fh of premature chd,Family History Of Premature Coronary Heart Disease,ProblemsDim
premature coronary heart disease family history,Family History Of Premature Coronary Heart Disease,ProblemsDim
fh of pcad,Family History Of Premature Coronary Heart Disease,ProblemsDim
pcad family history,Family History Of Premature Coronary Heart Disease,ProblemsDim
family history of premature coronary heart disease,Family History Of Premature Coronary Heart Disease,ProblemsDim
necrotizing fasciitis,Gangrene,ProblemsDim
gangrenous tissue,Gangrene,ProblemsDim
clostridial myonecrosis,Gangrene,ProblemsDim
flesh-eating bacteria,Gangrene,ProblemsDim
gangrenous infection,Gangrene,ProblemsDim
gangrenous wound,Gangrene,ProblemsDim
gangrene,Gangrene,ProblemsDim
heart rhythm disorders,Heart Arrythmias,ProblemsDim
arrhythmia,Heart Arrythmias,ProblemsDim
atrial fibrillation,Heart Arrythmias,ProblemsDim
ventricular tachycardia,Heart Arrythmias,ProblemsDim
supraventricular tachycardia,Heart Arrythmias,ProblemsDim
bradycardia,Heart Arrythmias,ProblemsDim
tachycardia,Heart Arrythmias,ProblemsDim
palpitations,Heart Arrythmias,ProblemsDim
heart flutter,Heart Arrythmias,ProblemsDim
heart race,Heart Arrythmias,ProblemsDim
heart arrythmias,Heart Arrythmias,ProblemsDim
myocardial infarction (mi),Heart Damage,ProblemsDim
cardiac arrest,Heart Damage,ProblemsDim
heart attack,Heart Damage,ProblemsDim
heart failure,Heart Damage,ProblemsDim
cardiomyopathy,Heart Damage,ProblemsDim
valvular heart disease,Heart Damage,ProblemsDim
coronary artery disease (cad),Heart Damage,ProblemsDim
heart valve damage,Heart Damage,ProblemsDim
heart damage,Heart Damage,ProblemsDim
heart failure (hf),Heart Disease,ProblemsDim
coronary artery disease (cad),Heart Disease,ProblemsDim
myocardial infarction (mi),Heart Disease,ProblemsDim
angina pectoris,Heart Disease,ProblemsDim
cardiomyopathy,Heart Disease,ProblemsDim
arrhythmia,Heart Disease,ProblemsDim
valvular heart disease,Heart Disease,ProblemsDim
hypertensive heart disease,Heart Disease,ProblemsDim
heart valve disease,Heart Disease,ProblemsDim
heart murmur,Heart Disease,ProblemsDim
congenital heart disease,Heart Disease,ProblemsDim
heart disease,Heart Disease,ProblemsDim
hf,Heart Failure,ProblemsDim
congestive heart failure,Heart Failure,ProblemsDim
chf,Heart Failure,ProblemsDim
heart disease,Heart Failure,ProblemsDim
cardiac failure,Heart Failure,ProblemsDim
heart dysfunction,Heart Failure,ProblemsDim
heart insufficiency,Heart Failure,ProblemsDim
heart failure,Heart Failure,ProblemsDim
endocarditis,Heart Infection,ProblemsDim
myocarditis,Heart Infection,ProblemsDim
pericarditis,Heart Infection,ProblemsDim
cardiomyopathy,Heart Infection,ProblemsDim
infective endocarditis,Heart Infection,ProblemsDim
bacterial endocarditis,Heart Infection,ProblemsDim
viral endocarditis,Heart Infection,ProblemsDim
fungal endocarditis,Heart Infection,ProblemsDim
parasitic endocarditis,Heart Infection,ProblemsDim
heart infection,Heart Infection,ProblemsDim
hm,Heart Murmur,ProblemsDim
heart murmurs,Heart Murmur,ProblemsDim
cardiac murmur,Heart Murmur,ProblemsDim
heart sound abnormality,Heart Murmur,ProblemsDim
systolic murmur,Heart Murmur,ProblemsDim
diastolic murmur,Heart Murmur,ProblemsDim
murmur of aortic stenosis,Heart Murmur,ProblemsDim
murmur of mitral regurgitation,Heart Murmur,ProblemsDim
murmur of tricuspid regurgitation,Heart Murmur,ProblemsDim
murmur of pulmonary stenosis,Heart Murmur,ProblemsDim
murmur of mitral stenosis,Heart Murmur,ProblemsDim
murmur of aortic insufficiency,Heart Murmur,ProblemsDim
murmur of mitral prolapse,Heart Murmur,ProblemsDim
murmur of tricuspid insufficiency,Heart Murmur,ProblemsDim
murmur of pulmonary regurgitation,Heart Murmur,ProblemsDim
heart murmur,Heart Murmur,ProblemsDim
ht,Heart Transplant,ProblemsDim
heart transplantation,Heart Transplant,ProblemsDim
cardiac transplant,Heart Transplant,ProblemsDim
heart grafting,Heart Transplant,ProblemsDim
myocardial transplant,Heart Transplant,ProblemsDim
heart replacement surgery,Heart Transplant,ProblemsDim
heart transplant procedure,Heart Transplant,ProblemsDim
heart transplant operation,Heart Transplant,ProblemsDim
heart transplant,Heart Transplant,ProblemsDim
bleeding,Hemorrhage,ProblemsDim
haemorrhage,Hemorrhage,ProblemsDim
hemorrhagic shock,Hemorrhage,ProblemsDim
postpartum hemorrhage,Hemorrhage,ProblemsDim
intracranial hemorrhage,Hemorrhage,ProblemsDim
gastrointestinal bleeding,Hemorrhage,ProblemsDim
venous hemorrhage,Hemorrhage,ProblemsDim
arterial hemorrhage,Hemorrhage,ProblemsDim
hematoma,Hemorrhage,ProblemsDim
epidural hematoma,Hemorrhage,ProblemsDim
hemorrhage,Hemorrhage,ProblemsDim
hemorrhagic cerebral infarction,Hemorrhagic Stroke,ProblemsDim
intracranial hemorrhage,Hemorrhagic Stroke,ProblemsDim
subarachnoid hemorrhage,Hemorrhagic Stroke,ProblemsDim
brain hemorrhage,Hemorrhagic Stroke,ProblemsDim
cerebral hemorrhage,Hemorrhagic Stroke,ProblemsDim
hemorrhagic stroke,Hemorrhagic Stroke,ProblemsDim
high blood pressure,Hypertension,ProblemsDim
htn,Hypertension,ProblemsDim
